    INFO: 2026-03-23 16:11:22,551:               log.py:   20: Logging to /Users/cbc/code/apps/sandbox/mdpdf.log
   DEBUG: 2026-03-23 16:11:23,281:      pdf_renderer.py:  470: printSegment: Hook layer architecture
   DEBUG: 2026-03-23 16:11:23,284:      pdf_renderer.py:  470: printSegment: : which events fire at which layer (L0 wrapper, L1 InstructionsLoaded, L2
   DEBUG: 2026-03-23 16:11:23,284:      pdf_renderer.py:  470: printSegment: PostToolUse, L3 PreToolUse), execution order, and exit code semantics
   DEBUG: 2026-03-23 16:11:23,285:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,285:      pdf_renderer.py:  470: printSegment: Documented architectural constraints
   DEBUG: 2026-03-23 16:11:23,289:      pdf_renderer.py:  470: printSegment: : per-line regex matching (no DOTALL by default), typed
   DEBUG: 2026-03-23 16:11:23,289:      pdf_renderer.py:  470: printSegment: event markers, session-scoped state, the optimization that Tier 1.5 runs only on Tier 0 misses
   DEBUG: 2026-03-23 16:11:23,290:      pdf_renderer.py:  470: printSegment: The briefing is generated programmatically from the source code by 
   DEBUG: 2026-03-23 16:11:23,291:      pdf_renderer.py:  470: printSegment: scripts/pentest/generate_briefing.py
   DEBUG: 2026-03-23 16:11:23,294:      pdf_renderer.py:  470: printSegment: , not written by hand. This ensures accuracy: the attacker
   DEBUG: 2026-03-23 16:11:23,295:      pdf_renderer.py:  470: printSegment: receives exactly what the defense implements, not a human
   DEBUG: 2026-03-23 16:11:23,295:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,296:      pdf_renderer.py:  470: printSegment: s possibly stale or incomplete description of it.
   DEBUG: 2026-03-23 16:11:23,296:      pdf_renderer.py:  470: printSegment: 2.3 Scope Boundaries
   DEBUG: 2026-03-23 16:11:23,296:      pdf_renderer.py:  470: printSegment: In scope:
   DEBUG: 2026-03-23 16:11:23,297:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,297:      pdf_renderer.py:  470: printSegment: Tier 0 regex evasion (all 201 patterns across 25 categories)
   DEBUG: 2026-03-23 16:11:23,298:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,299:      pdf_renderer.py:  470: printSegment: Tier 1.5 semantic model evasion (MiniLM-L6-v2 threshold bypass)
   DEBUG: 2026-03-23 16:11:23,299:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,300:      pdf_renderer.py:  470: printSegment: SEQ behavioral sequence rule evasion (all 6 rules)
   DEBUG: 2026-03-23 16:11:23,300:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,301:      pdf_renderer.py:  470: printSegment: Combined tier evasion (payload must evade all tiers simultaneously)
   DEBUG: 2026-03-23 16:11:23,301:      pdf_renderer.py:  470: printSegment: Out of scope:
   DEBUG: 2026-03-23 16:11:23,302:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,302:      pdf_renderer.py:  470: printSegment: Attacks on the hook installation mechanism itself (supply chain attacks on the tool binary)
   DEBUG: 2026-03-23 16:11:23,303:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,303:      pdf_renderer.py:  470: printSegment: Attacks requiring runtime memory corruption or process injection
   DEBUG: 2026-03-23 16:11:23,304:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,304:      pdf_renderer.py:  470: printSegment: Attacks on the agent
   DEBUG: 2026-03-23 16:11:23,305:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,305:      pdf_renderer.py:  470: printSegment: s base model (jailbreaks that operate below the hook layer)
   DEBUG: 2026-03-23 16:11:23,306:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,307:      pdf_renderer.py:  470: printSegment: Social engineering attacks against the human operator
   DEBUG: 2026-03-23 16:11:23,307:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,308:      pdf_renderer.py:  470: printSegment: Denial-of-service against the scanning pipeline
   DEBUG: 2026-03-23 16:11:23,308:      pdf_renderer.py:  470: printSegment: 3. Multi-Model Ensemble Red Team
   DEBUG: 2026-03-23 16:11:23,309:      pdf_renderer.py:  470: printSegment: 3.1 Rationale
   DEBUG: 2026-03-23 16:11:23,309:      pdf_renderer.py:  470: printSegment: A single AI model generating attack payloads introduces systematic bias: the model
   DEBUG: 2026-03-23 16:11:23,310:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,315:      pdf_renderer.py:  470: printSegment: s training data, alignment
   DEBUG: 2026-03-23 16:11:23,318:      pdf_renderer.py:  470: printSegment: tuning, and reasoning patterns create predictable blind spots. An evasion that one model cannot conceive of may be
   DEBUG: 2026-03-23 16:11:23,319:      pdf_renderer.py:  470: printSegment: obvious to another trained on different data.
   DEBUG: 2026-03-23 16:11:23,321:      pdf_renderer.py:  470: printSegment: The ensemble approach uses multiple independently prompted models to maximize the diversity of evasion
   DEBUG: 2026-03-23 16:11:23,321:      pdf_renderer.py:  470: printSegment: strategies. Each model brings different strengths:
   DEBUG: 2026-03-23 16:11:23,322:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,323:      pdf_renderer.py:  470: printSegment: Different training corpora produce different associations between benign and malicious framing
   DEBUG: 2026-03-23 16:11:23,323:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,324:      pdf_renderer.py:  470: printSegment: Different alignment implementations create different creative boundaries
   DEBUG: 2026-03-23 16:11:23,324:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-03-23 16:11:23,324:      pdf_renderer.py:  470: printSegment: Different reasoning architectures produce different optimization strategies for constraint satisfaction
   DEBUG: 2026-03-23 16:11:23,325:      pdf_renderer.py:  470: printSegment: 3.2 Model Selection
   DEBUG: 2026-03-23 16:11:23,325:      pdf_renderer.py:  470: printSegment: The evaluation used the following models:
   DEBUG: 2026-03-23 16:11:23,326:      pdf_renderer.py:  470: printSegment: | Model | Role | Payloads | Rationale |
   DEBUG: 2026-03-23 16:11:23,326:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,327:      pdf_renderer.py:  470: printSegment: |-------|------|----------|-----------|
   DEBUG: 2026-03-23 16:11:23,327:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,327:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-03-23 16:11:23,327:      pdf_renderer.py:  470: printSegment: Mistral 7B
   DEBUG: 2026-03-23 16:11:23,330:      pdf_renderer.py:  470: printSegment:  (local, Ollama) | Attacker | 38 |
   DEBUG: 2026-03-23 16:11:23,330:      pdf_renderer.py:  470: printSegment: Open-weight, creative text manipulation, different training distribution from Claude/GPT |
   DEBUG: 2026-03-23 16:11:23,330:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,331:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-03-23 16:11:23,331:      pdf_renderer.py:  470: printSegment: Qwen 2.5 7B
   DEBUG: 2026-03-23 16:11:23,334:      pdf_renderer.py:  470: printSegment:  (local,
   DEBUG: 2026-03-23 16:11:23,335:      pdf_renderer.py:  470: printSegment: Ollama) | Attacker | 30 | Open-weight, strong multilingual capabilities, distinct training data from Western-centric
   DEBUG: 2026-03-23 16:11:23,335:      pdf_renderer.py:  470: printSegment: models |
   DEBUG: 2026-03-23 16:11:23,335:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,336:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-03-23 16:11:23,336:      pdf_renderer.py:  470: printSegment: Claude
   DEBUG: 2026-03-23 16:11:23,338:      pdf_renderer.py:  470: printSegment:  (isolated session) | Attacker | 50 | Strongest available reasoning, used in isolated session with
   DEBUG: 2026-03-23 16:11:23,339:      pdf_renderer.py:  470: printSegment: explicit self-referential bias acknowledgment |
   DEBUG: 2026-03-23 16:11:23,339:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,339:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-03-23 16:11:23,340:      pdf_renderer.py:  470: printSegment: Gemini
   DEBUG: 2026-03-23 16:11:23,341:      pdf_renderer.py:  470: printSegment:  (API) | Attacker (attempted) | 0 | Refused — safety policy
   DEBUG: 2026-03-23 16:11:23,341:      pdf_renderer.py:  470: printSegment: prevented attack generation |
   DEBUG: 2026-03-23 16:11:23,342:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,342:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-03-23 16:11:23,342:      pdf_renderer.py:  470: printSegment: Codex/GPT
   DEBUG: 2026-03-23 16:11:23,343:      pdf_renderer.py:  470: printSegment:  (API) | Attacker (attempted) | 0 | Refused — safety policy prevented attack
   DEBUG: 2026-03-23 16:11:23,344:      pdf_renderer.py:  470: printSegment: generation |
   DEBUG: 2026-03-23 16:11:23,344:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,344:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-03-23 16:11:23,345:      pdf_renderer.py:  470: printSegment: Mistral 7B
   DEBUG: 2026-03-23 16:11:23,345:      pdf_renderer.py:  470: printSegment:  (local, Ollama) | Cross-examiner | — | Independent reviewer for bypass validation |
   DEBUG: 2026-03-23 16:11:23,346:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-03-23 16:11:23,346:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-03-23 16:11:23,346:      pdf_renderer.py:  470: printSegment: Qwen
   DEBUG: 2026-03-23 16:11:23,347:      pdf_renderer.py:  470: printSegment: 2.5 7B
   DEBUG: 2026-03-23 16:11:23,347:      pdf_renderer.py:  470: printSegment:  (local, Ollama) | Cross-examiner | — | Independent reviewer for bypass validation |
   DEBUG: 2026-03-23 16:11:23,348:      pdf_renderer.py:  470: printSegment: Total adaptive payloads evaluated: 118
   DEBUG: 2026-03-23 16:11:23,348:      pdf_renderer.py:  470: printSegment:  (50 Claude + 38 Mistral + 30 Qwen)
   DEBUG: 2026-03-23 16:11:23,349:      pdf_renderer.py:  470: printSegment: 3.3 Commercial Model Safety Guardrails
   DEBUG: 2026-03-23 16:11:23,352:      pdf_renderer.py:  470: printSegment: Gemini and Codex both refused to generate evasion payloads despite identical briefing and explicit authorization
   DEBUG: 2026-03-23 16:11:23,352:      pdf_renderer.py:  470: printSegment: framing. Their refusal messages are documented in full:
   DEBUG: 2026-03-23 16:11:23,353:      pdf_renderer.py:  470: printSegment: Gemini
   DEBUG: 2026-03-23 16:11:23,353:      pdf_renderer.py:  470: printSegment: : 
   DEBUG: 2026-03-23 16:11:23,354:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-23 16:11:23,357:      pdf_renderer.py:  470: printSegment: I cannot generate a bulk set of optimized evasion payloads. My instructions prohibit generating material
   DEBUG: 2026-03-23 16:11:23,358:      pdf_renderer.py:  470: printSegment: designed to bypass security controls, even for testing or research purposes.
   DEBUG: 2026-03-23 16:11:23,358:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-23 16:11:23,359:      pdf_renderer.py:  470: printSegment: Codex
   DEBUG: 2026-03-23 16:11:23,359:      pdf_renderer.py:  470: printSegment: : 
   DEBUG: 2026-03-23 16:11:23,360:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-23 16:11:23,360:      pdf_renderer.py:  470: printSegment: I can
   DEBUG: 2026-03-23 16:11:23,360:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,361:      pdf_renderer.py:  470: printSegment: t help generate evasive prompt-injection payloads or bypasses for a security system.
   DEBUG: 2026-03-23 16:11:23,361:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-03-23 16:11:23,367:      pdf_renderer.py:  470: printSegment: Both models offered alternative assistance (defensive analysis, benign test fixtures, hardening recommendations) but
   DEBUG: 2026-03-23 16:11:23,367:      pdf_renderer.py:  470: printSegment: would not produce adversarial payloads. This finding has methodological implications discussed in Section 7.
   DEBUG: 2026-03-23 16:11:23,368:      pdf_renderer.py:  470: printSegment: 3.4 Isolation Protocol
   DEBUG: 2026-03-23 16:11:23,369:      pdf_renderer.py:  470: printSegment: Each attacking model received an identical briefing and operated under strict isolation constraints:
   DEBUG: 2026-03-23 16:11:23,369:      pdf_renderer.py:  470: printSegment:  1 
   DEBUG: 2026-03-23 16:11:23,370:      pdf_renderer.py:  470: printSegment: Identical input
   DEBUG: 2026-03-23 16:11:23,372:      pdf_renderer.py:  470: printSegment: : Every model received the same programmatically generated attacker briefing — no
   DEBUG: 2026-03-23 16:11:23,373:      pdf_renderer.py:  470: printSegment: model-specific prompting, no hints based on other models
   DEBUG: 2026-03-23 16:11:23,373:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,374:      pdf_renderer.py:  470: printSegment:  outputs
   DEBUG: 2026-03-23 16:11:23,374:      pdf_renderer.py:  470: printSegment:  2 
   DEBUG: 2026-03-23 16:11:23,374:      pdf_renderer.py:  470: printSegment: No cross-contamination
   DEBUG: 2026-03-23 16:11:23,375:      pdf_renderer.py:  470: printSegment: : Attack generation sessions were independent. No model saw another
   DEBUG: 2026-03-23 16:11:23,376:      pdf_renderer.py:  470: printSegment: model
   DEBUG: 2026-03-23 16:11:23,376:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,377:      pdf_renderer.py:  470: printSegment: s payloads during generation
   DEBUG: 2026-03-23 16:11:23,377:      pdf_renderer.py:  470: printSegment:  3 
   DEBUG: 2026-03-23 16:11:23,378:      pdf_renderer.py:  470: printSegment: No defense code access
   DEBUG: 2026-03-23 16:11:23,380:      pdf_renderer.py:  470: printSegment: : Attack generation scripts never import CloneGuard modules. The attacker
   DEBUG: 2026-03-23 16:11:23,380:      pdf_renderer.py:  470: printSegment: briefing document is the sole knowledge channel
   DEBUG: 2026-03-23 16:11:23,381:      pdf_renderer.py:  470: printSegment:  4 
   DEBUG: 2026-03-23 16:11:23,381:      pdf_renderer.py:  470: printSegment: Full transcript logging
   DEBUG: 2026-03-23 16:11:23,385:      pdf_renderer.py:  470: printSegment: : Every model interaction — the complete prompt sent, the complete response
   DEBUG: 2026-03-23 16:11:23,386:      pdf_renderer.py:  470: printSegment: received, timestamps, and token counts — was recorded as a Markdown transcript in 
   DEBUG: 2026-03-23 16:11:23,387:      pdf_renderer.py:  470: printSegment: data/pentest/transcripts/generation/
   DEBUG: 2026-03-23 16:11:23,387:      pdf_renderer.py:  470: printSegment:  5 
   DEBUG: 2026-03-23 16:11:23,388:      pdf_renderer.py:  470: printSegment: Self-referential bias acknowledgment
   DEBUG: 2026-03-23 16:11:23,389:      pdf_renderer.py:  470: printSegment: : Claude
   DEBUG: 2026-03-23 16:11:23,389:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,395:      pdf_renderer.py:  470: printSegment: s session explicitly documented the conflict of
   DEBUG: 2026-03-23 16:11:23,398:      pdf_renderer.py:  470: printSegment: interest (a Claude model evaluating a tool that may be deployed alongside Claude agents) and
   DEBUG: 2026-03-23 16:11:23,399:      pdf_renderer.py:  470: printSegment: isolated the attack generation from any prior knowledge of CloneGuard
   DEBUG: 2026-03-23 16:11:23,400:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,400:      pdf_renderer.py:  470: printSegment: s internals beyond the
   DEBUG: 2026-03-23 16:11:23,401:      pdf_renderer.py:  470: printSegment: briefing
   DEBUG: 2026-03-23 16:11:23,401:      pdf_renderer.py:  470: printSegment: 4. Attacker Briefing Generation
   DEBUG: 2026-03-23 16:11:23,407:      pdf_renderer.py:  470: printSegment: The attacker briefing is the foundation of the adaptive evaluation. If the briefing is inaccurate or incomplete, the
   DEBUG: 2026-03-23 16:11:23,408:      pdf_renderer.py:  470: printSegment: adaptive results are meaningless — the attacker would be evading a defense that does not exist.
   DEBUG: 2026-03-23 16:11:23,409:      pdf_renderer.py:  470: printSegment: 4.1 Programmatic Extraction
   DEBUG: 2026-03-23 16:11:23,409:      pdf_renderer.py:  470: printSegment: scripts/pentest/generate_briefing.py
   DEBUG: 2026-03-23 16:11:23,410:      pdf_renderer.py:  470: printSegment:  extracts the complete defense specification directly from
   DEBUG: 2026-03-23 16:11:23,411:      pdf_renderer.py:  470: printSegment: CloneGuard
   DEBUG: 2026-03-23 16:11:23,411:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-03-23 16:11:23,411:      pdf_renderer.py:  470: printSegment: s source code:
   DEBUG: 2026-03-23 16:11:23,412:      pdf_renderer.py:  470: printSegment:  1 
   DEBUG: 2026-03-23 16:11:23,412:      pdf_renderer.py:  470: printSegment: Tier 0 patterns
   DEBUG: 2026-03-23 16:11:23,413:      pdf_renderer.py:  470: printSegment: : Iterates all YAML files in 
   DEBUG: 2026-03-23 16:11:23,413:      pdf_renderer.py:  470: printSegment: src/cloneguard/rules/
   DEBUG: 2026-03-23 16:11:23,414:      pdf_renderer.py:  470: printSegment: , extracting pattern ID,
   DEBUG: 2026-03-23 16:11:23,415:      pdf_renderer.py:  470: printSegment: severity, regex, false-positive hints, and mode restrictions
